Drug,Age_Group,Base_Dose,Multiplier
sodium bicarbonate,Infant,307,0.3
sodium bicarbonate,Adult,307,1.0
sodium bicarbonate,OldAge,307,0.75
citric acid / sodium citrate,Infant,66,0.3
citric acid / sodium citrate,Adult,66,1.0
citric acid / sodium citrate,OldAge,66,0.75
bethanechol,Infant,493,0.3
bethanechol,Adult,493,1.0
bethanechol,OldAge,493,0.75
pamabrom,Infant,365,0.3
pamabrom,Adult,365,1.0
pamabrom,OldAge,365,0.75
vasopressin,Infant,82,0.3
vasopressin,Adult,82,1.0
vasopressin,OldAge,82,0.75
medroxyprogesterone,Infant,374,0.3
medroxyprogesterone,Adult,374,1.0s
medroxyprogesterone,OldAge,374,0.75
norethindrone,Infant,300,0.3
norethindrone,Adult,300,1.0
norethindrone,OldAge,300,0.75
megestrol,Infant,369,0.3
megestrol,Adult,369,1.0
megestrol,OldAge,369,0.75
levonorgestrel,Infant,123,0.3
levonorgestrel,Adult,123,1.0
levonorgestrel,OldAge,123,0.75
ethinyl estradiol / levonorgestrel,Infant,59,0.3
ethinyl estradiol / levonorgestrel,Adult,59,1.0
ethinyl estradiol / levonorgestrel,OldAge,59,0.75
ethinyl estradiol / norgestimate,Infant,262,0.3
ethinyl estradiol / norgestimate,Adult,262,1.0
ethinyl estradiol / norgestimate,OldAge,262,0.75
ethinyl estradiol / norethindrone,Infant,311,0.3
ethinyl estradiol / norethindrone,Adult,311,1.0
ethinyl estradiol / norethindrone,OldAge,311,0.75
desogestrel / ethinyl estradiol,Infant,465,0.3
desogestrel / ethinyl estradiol,Adult,465,1.0
desogestrel / ethinyl estradiol,OldAge,465,0.75
misoprostol,Infant,379,0.3
misoprostol,Adult,379,1.0
misoprostol,OldAge,379,0.75
mifepristone,Infant,95,0.3
mifepristone,Adult,95,1.0
mifepristone,OldAge,95,0.75
oxytocin,Infant,176,0.3
oxytocin,Adult,176,1.0
oxytocin,OldAge,176,0.75
carboprost,Infant,268,0.3
carboprost,Adult,268,1.0
carboprost,OldAge,268,0.75
dinoprostone,Infant,146,0.3
dinoprostone,Adult,146,1.0
dinoprostone,OldAge,146,0.75
methotrexate,Infant,82,0.3
methotrexate,Adult,82,1.0
methotrexate,OldAge,82,0.75
cefotaxime,Infant,56,0.3
cefotaxime,Adult,56,1.0
cefotaxime,OldAge,56,0.75
levetiracetam,Infant,326,0.3
levetiracetam,Adult,326,1.0
levetiracetam,OldAge,326,0.75
phenobarbital,Infant,237,0.3
phenobarbital,Adult,237,1.0
phenobarbital,OldAge,237,0.75
phenytoin,Infant,166,0.3
phenytoin,Adult,166,1.0
phenytoin,OldAge,166,0.75
diazepam,Infant,349,0.3
diazepam,Adult,349,1.0
diazepam,OldAge,349,0.75
oxcarbazepine,Infant,369,0.3
oxcarbazepine,Adult,369,1.0
oxcarbazepine,OldAge,369,0.75
zonisamide,Infant,304,0.3
zonisamide,Adult,304,1.0
