Drug,Infant_mg,Adult_mg,OldAge_mg
sodium bicarbonate,20,250,150
citric acid / sodium citrate,22,260,158
bethanechol,24,270,166
pamabrom,26,280,174
vasopressin,28,290,182
medroxyprogesterone,30,300,190
norethindrone,32,310,198
megestrol,34,320,206
levonorgestrel,36,330,214
ethinyl estradiol / levonorgestrel,38,340,222
ethinyl estradiol / norgestimate,40,350,230
ethinyl estradiol / norethindrone,42,360,238
desogestrel / ethinyl estradiol,44,370,246
misoprostol,46,380,254
mifepristone,48,390,262
oxytocin,50,400,270
carboprost,52,410,278
dinoprostone,54,420,286
methotrexate,56,430,294
cefotaxime,58,440,302
levetiracetam,60,450,310
phenobarbital,62,460,318
phenytoin,64,470,326
diazepam,66,480,334
oxcarbazepine,68,490,342
zonisamide,70,500,350
topiramate,72,510,358
valproic acid,74,520,366
primidone,76,530,374
aspirin,78,540,382
nitroglycerin,80,550,390
metoprolol,82,560,398
amlodipine,84,570,406
isosorbide mononitrate,86,580,414
isosorbide dinitrate,88,590,422
enoxaparin,90,600,430
ranolazine,92,610,438
atenolol,94,620,446
carvedilol,96,630,454
amlodipine / atorvastatin,98,640,462
dextranomer / sodium hyaluronate,100,650,470
acetylcysteine,102,660,478
meloxicam,104,670,486
naproxen,106,680,494
indomethacin,108,690,502
trolamine salicylate,110,700,510
sulindac,112,710,518
omeprazole,114,720,526
pantoprazole,116,730,534
ranitidine,118,740,542
famotidine,120,750,550
lansoprazole,122,760,558
esomeprazole,124,770,566
rabeprazole,126,780,574
sucralfate,128,790,582
dexlansoprazole,130,800,590
omeprazole / sodium bicarbonate,132,810,598
ibuprofen,134,820,606
acetaminophen,136,830,614
diclofenac,138,840,622
nabumetone,140,850,630
doxycycline,142,860,638
spironolactone,144,870,646
minocycline,146,880,654
clindamycin,148,890,662
tretinoin,150,900,670
isotretinoin,152,910,678
benzoyl peroxide,154,920,686
adapalene,156,930,694
tetracycline,158,940,702
cephalexin,160,950,710
sulfamethoxazole / trimethoprim,162,960,718
metronidazole,164,970,726
azelaic acid,166,980,734
sulfacetamide sodium / sulfur,168,990,742
ivermectin,170,1000,750
brimonidine,172,1010,758
lamivudine,174,1020,766
efavirenz / emtricitabine / tenofovir,176,1030,774
ritonavir,178,1040,782
emtricitabine / tenofovir,180,1050,790
tenofovir,182,1060,798
abacavir,184,1070,806
methylene blue,186,1080,814
bromocriptine,188,1090,822
octreotide,190,1100,830
pegvisomant,192,1110,838
lanreotide,194,1120,846
pasireotide,196,1130,854
gabapentin,198,1140,862
fluorouracil,200,1150,870
aminolevulinic acid,202,1160,878
ingenol,204,1170,886
amoxicillin,206,1180,894
penicillin g sodium,208,1190,902
penicillin g potassium,210,1200,910
albuterol,212,1210,918
prednisolone,214,1220,926
methylprednisolone,216,1230,934
epinephrine,218,1240,942
hydrocortisone,220,1250,950
theophylline,222,1260,958
dexamethasone,224,1270,966
levalbuterol,226,1280,974
terbutaline,228,1290,982
ciprofloxacin,230,1300,990
nitrofurantoin,232,1310,998
levofloxacin,234,1320,1006
ceftriaxone,236,1330,1014
amoxicillin / clavulanate,238,1340,1022
cefuroxime,240,1350,1030
trimethoprim,242,1360,1038
methenamine,244,1370,1046
ampicillin,246,1380,1054
prednisone,248,1390,1062
vincristine,250,1400,1070
cyclophosphamide,252,1410,1078
asparaginase escherichia coli,254,1420,1086
daunorubicin,256,1430,1094
asparaginase erwinia chrysanthemi,258,1440,1102
teniposide,260,1450,1110
clopidogrel,262,1460,1118
ticagrelor,264,1470,1126
prasugrel,266,1480,1134
eptifibatide,268,1490,1142
tirofiban,270,1500,1150
azathioprine,272,1510,1158
penicillin g benzathine,274,1520,1166
cytarabine,276,1530,1174
idarubicin,278,1540,1182
decitabine,280,1550,1190
gemtuzumab,282,1560,1198
midostaurin,284,1570,1206
venetoclax,286,1580,1214
enasidenib,288,1590,1222
cytarabine liposomal / daunorubicin liposomal,290,1600,1230
ivosidenib,292,1610,1238
gilteritinib,294,1620,1246
glasdegib,296,1630,1254
chlorpromazine,298,1640,1262
hemin,300,1650,1270
givosiran,302,1660,1278
mercaptopurine,304,1670,1286
dasatinib,306,1680,1294
pegaspargase,308,1690,1302
doxorubicin,310,1700,1310
imatinib,312,1710,1318
ponatinib,314,1720,1326
vincristine liposome,316,1730,1334
blinatumomab,318,1740,1342
thioguanine,320,1750,1350
mitoxantrone,322,1760,1358
ofloxacin,324,1770,1366
ciprofloxacin / hydrocortisone,326,1780,1374
colistin sulfate / hydrocortisone / neomycin / thonzonium bromide,328,1790,1382
arsenic trioxide,330,1800,1390
beractant,332,1810,1398
poractant,334,1820,1406
calfactant,336,1830,1414
cefdinir,338,1840,1422
azithromycin,340,1850,1430
clarithromycin,342,1860,1438
moxifloxacin,344,1870,1446
sertraline,346,1880,1454
citalopram,348,1890,1462
fluoxetine,350,1900,1470
amitriptyline,352,1910,1478
venlafaxine,354,1920,1486
paroxetine,356,1930,1494
prazosin,358,1940,1502
fluvoxamine,360,1950,1510
pegademase bovine,362,1960,1518
elapegademase,364,1970,1526
ephedrine,366,1980,1534
isoproterenol,368,1990,1542
methylphenidate,370,2000,1550
amphetamine / dextroamphetamine,372,2010,1558
dextroamphetamine,374,2020,1566
clonidine,376,2030,1574
bupropion,378,2040,1582
guanfacine,380,2050,1590
lisdexamfetamine,382,2060,1598
amphetamine,384,2070,1606
atomoxetine,386,2080,1614
fludrocortisone,388,2090,1622
pazopanib,390,2100,1630
sunitinib,392,2110,1638
axitinib,394,2120,1646
nivolumab,396,2130,1654
sorafenib,398,2140,1662
everolimus,400,2150,1670
bevacizumab,402,2160,1678
cabozantinib,404,2170,1686
aldesleukin,406,2180,1694
capecitabine,408,2190,1702
temsirolimus,410,2200,1710
lenvatinib,412,2210,1718
adenovirus vaccine,414,2220,1726
piroxicam,416,2230,1734
triamcinolone,418,2240,1742
fentanyl,420,2250,1750
pregabalin,422,2260,1758
probenecid,424,2270,1766
enalapril,426,2280,1774
lisinopril,428,2290,1782
captopril,430,2300,1790
mitotane,432,2310,1798
cortisone,434,2320,1806
cosyntropin,436,2330,1814
somatropin,438,2340,1822
anakinra,440,2350,1830
tocilizumab,442,2360,1838
etanercept,444,2370,1846
digoxin,446,2380,1854
diltiazem,448,2390,1862
flecainide,450,2400,1870
sotalol,452,2410,1878
propafenone,454,2420,1886
rivaroxaban,456,2430,1894
dronedarone,458,2440,1902
propranolol,460,2450,1910
pentamidine,462,2460,1918
benznidazole,464,2470,1926
haloperidol,466,2480,1934
aripiprazole,468,2490,1942
olanzapine,470,2500,1950
loxapine,472,2510,1958
risperidone,474,2520,1966
amitriptyline / perphenazine,476,2530,1974
ruxolitinib,478,2540,1982
fedratinib,480,2550,1990
filgrastim,482,2560,1998
dronabinol,484,2570,2006
naltrexone,486,2580,2014
acamprosate,488,2590,2022
disulfiram,490,2600,2030
ondansetron,492,2610,2038
gabapentin enacarbil,494,2620,2046
baclofen,496,2630,2054
chlordiazepoxide,498,2640,2062
oxazepam,500,2650,2070
clorazepate,502,2660,2078
propylthiouracil,504,2670,2086
oxandrolone,506,2680,2094
hydroxyquinoline,508,2690,2102
ammonium chloride,510,2700,2110
salmeterol,512,2710,2118
ketotifen,514,2720,2126
azelastine,516,2730,2134
cromolyn,518,2740,2142
epinastine,520,2750,2150
nedocromil,522,2760,2158
bepotastine,524,2770,2166
cetirizine,526,2780,2174
alcaftadine,528,2790,2182
carbinoxamine,530,2800,2190
doxylamine,532,2810,2198
clobetasol,534,2820,2206
betamethasone,536,2830,2214
fluocinonide,538,2840,2222
tacrolimus,540,2850,2230
mometasone,542,2860,2238
desonide,544,2870,2246
fluocinolone,546,2880,2254
desoximetasone,548,2890,2262
fluticasone,550,2900,2270
diphenhydramine,552,2910,2278
loratadine,554,2920,2286
chlorpheniramine,556,2930,2294
promethazine,558,2940,2302
cyproheptadine,560,2950,2310
montelukast,562,2960,2318
fexofenadine,564,2970,2326
levocetirizine,566,2980,2334
hydroxyzine,568,2990,2342
triprolidine,570,3000,2350
tetracaine,572,3010,2358
corticotropin,574,3020,2366
dexbrompheniramine,576,3030,2374
chlorpheniramine / ibuprofen / phenylephrine,578,3040,2382
dexbrompheniramine / phenylephrine,580,3050,2390
minoxidil,582,3060,2398
sulfasalazine,584,3070,2406
hydroxyurea,586,3080,2414
deferasirox,588,3090,2422
deferiprone,590,3100,2430
alpha 1-proteinase inhibitor,592,3110,2438
losartan,594,3120,2446
fosinopril,596,3130,2454
candesartan,598,3140,2462
quinapril,600,3150,2470
riluzole,602,3160,2478
