,Disease_name,Drug_name,absorption,solubility,toxicity,Due_to_Deficiency_of
0,Alkylating Agent Cystitis,sodium bicarbonate,High,Poorly soluble,Highly toxic,Antibodies
1,Alkylating Agent Cystitis,citric acid / sodium citrate,Low,Lipid-soluble,Highly toxic,Antibodies
2,Abdominal Distension,bethanechol,Moderate,Sparingly soluble,Mildly toxic,Digestive Enzymes
3,Abdominal Distension,pamabrom,Moderate,Water-soluble,Highly toxic,Digestive Enzymes
4,Abdominal Distension,bethanechol,High,Poorly soluble,Mildly toxic,Digestive Enzymes
5,Abdominal Distension,pamabrom,Low,Sparingly soluble,Non-toxic,Digestive Enzymes
6,Abdominal Distension Prior to Abdominal X-ray,vasopressin,High,Water-soluble,Highly toxic,Digestive Enzymes
7,Abdominal Radiological Procedure,vasopressin,Low,Poorly soluble,Mildly toxic,Digestive Enzymes
8,Abdominal Radiological Procedure,vasopressin,High,Water-soluble,Mildly toxic,Digestive Enzymes
9,Abnormal Uterine Bleeding,medroxyprogesterone,Moderate,Water-soluble,Highly toxic,Electrolytes
10,Abnormal Uterine Bleeding,norethindrone,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
11,Abnormal Uterine Bleeding,megestrol,Moderate,Water-soluble,Mildly toxic,Electrolytes
12,Abnormal Uterine Bleeding,levonorgestrel,Moderate,Water-soluble,Mildly toxic,Electrolytes
13,Abnormal Uterine Bleeding,ethinyl estradiol / levonorgestrel,Moderate,Poorly soluble,Mildly toxic,Electrolytes
14,Abnormal Uterine Bleeding,ethinyl estradiol / norgestimate,High,Poorly soluble,Non-toxic,Electrolytes
15,Abnormal Uterine Bleeding,ethinyl estradiol / norethindrone,High,Water-soluble,Mildly toxic,Electrolytes
16,Abnormal Uterine Bleeding,desogestrel / ethinyl estradiol,High,Sparingly soluble,Mildly toxic,Electrolytes
17,Abortion,misoprostol,Low,Sparingly soluble,Highly toxic,Electrolytes
18,Abortion,mifepristone,Moderate,Poorly soluble,Mildly toxic,Electrolytes
19,Abortion,oxytocin,High,Lipid-soluble,Non-toxic,Electrolytes
20,Abortion,carboprost,Moderate,Sparingly soluble,Non-toxic,Electrolytes
21,Abortion,dinoprostone,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
22,Ectopic Pregnancy,methotrexate,Moderate,Sparingly soluble,Highly toxic,Electrolytes
23,CNS Infection,cefotaxime,Moderate,Water-soluble,Non-toxic,Antibodies
24,Seizures (Convulsions),levetiracetam,Moderate,Sparingly soluble,Highly toxic,Electrolytes
25,Seizures (Convulsions),phenobarbital,High,Water-soluble,Mildly toxic,Electrolytes
26,Seizures (Convulsions),phenytoin,Moderate,Water-soluble,Highly toxic,Electrolytes
27,Seizures (Convulsions),diazepam,High,Lipid-soluble,Mildly toxic,Electrolytes
28,Seizures (Convulsions),oxcarbazepine,Low,Lipid-soluble,Non-toxic,Electrolytes
29,Seizures (Convulsions),zonisamide,High,Water-soluble,Mildly toxic,Electrolytes
30,Seizures (Convulsions),topiramate,Moderate,Water-soluble,Highly toxic,Electrolytes
31,Seizures (Convulsions),valproic acid,Low,Lipid-soluble,Highly toxic,Electrolytes
32,Seizures (Convulsions),primidone,Low,Sparingly soluble,Mildly toxic,Electrolytes
33,Angina,aspirin,Low,Lipid-soluble,Non-toxic,Oxygen
34,Angina,nitroglycerin,Low,Water-soluble,Non-toxic,Oxygen
35,Angina,metoprolol,Moderate,Poorly soluble,Highly toxic,Oxygen
36,Angina,amlodipine,Low,Poorly soluble,Non-toxic,Oxygen
37,Angina,isosorbide mononitrate,Low,Water-soluble,Non-toxic,Oxygen
38,Angina,isosorbide dinitrate,Low,Water-soluble,Non-toxic,Oxygen
39,Angina,enoxaparin,Moderate,Poorly soluble,Highly toxic,Oxygen
40,Angina,ranolazine,High,Poorly soluble,Non-toxic,Oxygen
41,Angina,atenolol,Low,Water-soluble,Mildly toxic,Oxygen
42,Angina,carvedilol,Moderate,Poorly soluble,Mildly toxic,Oxygen
43,Angina,amlodipine / atorvastatin,Low,Poorly soluble,Non-toxic,Oxygen
44,Fecal Incontinence,dextranomer / sodium hyaluronate,Low,Poorly soluble,Highly toxic,Electrolytes
45,Acetaminophen Overdose,acetylcysteine,Low,Water-soluble,Highly toxic,Electrolytes
46,Acetaminophen Overdose,acetylcysteine,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
47,Tendonitis,meloxicam,High,Water-soluble,Mildly toxic,Electrolytes
48,Tendonitis,naproxen,Low,Poorly soluble,Non-toxic,Electrolytes
49,Tendonitis,indomethacin,Moderate,Poorly soluble,Mildly toxic,Electrolytes
50,Tendonitis,trolamine salicylate,Low,Water-soluble,Highly toxic,Electrolytes
51,Tendonitis,sulindac,High,Poorly soluble,Mildly toxic,Electrolytes
52,Tendonitis,meloxicam,High,Poorly soluble,Non-toxic,Electrolytes
53,Tendonitis,naproxen,High,Water-soluble,Non-toxic,Electrolytes
54,Tendonitis,indomethacin,Low,Sparingly soluble,Non-toxic,Electrolytes
55,Tendonitis,trolamine salicylate,Moderate,Sparingly soluble,Highly toxic,Electrolytes
56,Tendonitis,sulindac,Low,Water-soluble,Non-toxic,Electrolytes
57,GERD,omeprazole,Moderate,Water-soluble,Mildly toxic,Digestive Enzymes
58,GERD,pantoprazole,Moderate,Lipid-soluble,Mildly toxic,Digestive Enzymes
59,GERD,ranitidine,Moderate,Lipid-soluble,Highly toxic,Digestive Enzymes
60,GERD,famotidine,Low,Water-soluble,Non-toxic,Digestive Enzymes
61,GERD,lansoprazole,Low,Sparingly soluble,Non-toxic,Digestive Enzymes
62,GERD,esomeprazole,Low,Lipid-soluble,Mildly toxic,Digestive Enzymes
63,GERD,rabeprazole,High,Sparingly soluble,Highly toxic,Digestive Enzymes
64,GERD,sucralfate,Moderate,Poorly soluble,Non-toxic,Digestive Enzymes
65,GERD,dexlansoprazole,Moderate,Sparingly soluble,Highly toxic,Digestive Enzymes
66,GERD,omeprazole / sodium bicarbonate,High,Water-soluble,Non-toxic,Digestive Enzymes
67,Acidosis,sodium bicarbonate,Low,Water-soluble,Non-toxic,Electrolytes
68,Acidosis,sodium bicarbonate,High,Poorly soluble,Non-toxic,Electrolytes
69,Acidosis,sodium bicarbonate,Low,Sparingly soluble,Non-toxic,Electrolytes
70,Muscle Pain,ibuprofen,Low,Lipid-soluble,Mildly toxic,Electrolytes
71,Muscle Pain,naproxen,Low,Lipid-soluble,Highly toxic,Electrolytes
72,Muscle Pain,acetaminophen,High,Water-soluble,Highly toxic,Electrolytes
73,Muscle Pain,diclofenac,Moderate,Lipid-soluble,Mildly toxic,Electrolytes
74,Muscle Pain,nabumetone,Moderate,Water-soluble,Mildly toxic,Electrolytes
75,Acne,doxycycline,Low,Sparingly soluble,Non-toxic,Electrolytes
76,Acne,spironolactone,High,Lipid-soluble,Highly toxic,Electrolytes
77,Acne,minocycline,High,Lipid-soluble,Highly toxic,Electrolytes
78,Acne,clindamycin,Low,Water-soluble,Non-toxic,Electrolytes
79,Acne,tretinoin,Moderate,Poorly soluble,Mildly toxic,Electrolytes
80,Acne,isotretinoin,Low,Poorly soluble,Mildly toxic,Electrolytes
81,Acne,benzoyl peroxide,Moderate,Water-soluble,Mildly toxic,Electrolytes
82,Acne,adapalene,High,Lipid-soluble,Mildly toxic,Electrolytes
83,Acne,tetracycline,High,Poorly soluble,Non-toxic,Electrolytes
84,Acne,cephalexin,High,Water-soluble,Non-toxic,Electrolytes
85,Acne,sulfamethoxazole / trimethoprim,High,Lipid-soluble,Mildly toxic,Electrolytes
86,Rosacea,doxycycline,High,Sparingly soluble,Non-toxic,Electrolytes
87,Rosacea,metronidazole,High,Water-soluble,Non-toxic,Electrolytes
88,Rosacea,minocycline,High,Poorly soluble,Non-toxic,Electrolytes
89,Rosacea,azelaic acid,High,Poorly soluble,Highly toxic,Electrolytes
90,Rosacea,sulfacetamide sodium / sulfur,High,Water-soluble,Non-toxic,Electrolytes
91,Rosacea,isotretinoin,Low,Water-soluble,Mildly toxic,Electrolytes
92,Rosacea,ivermectin,High,Poorly soluble,Highly toxic,Electrolytes
93,Rosacea,brimonidine,Low,Poorly soluble,Mildly toxic,Electrolytes
94,Acne,doxycycline,Low,Poorly soluble,Non-toxic,Electrolytes
95,Acne,spironolactone,Low,Sparingly soluble,Non-toxic,Electrolytes
96,Acne,minocycline,High,Poorly soluble,Highly toxic,Electrolytes
97,Acne,clindamycin,Moderate,Sparingly soluble,Mildly toxic,Electrolytes
98,Acne,tretinoin,Moderate,Lipid-soluble,Highly toxic,Electrolytes
