Drug_name,absorption,solubility,toxicity
C1 esterase inhibitor (human),High,Sparingly soluble,Highly toxic
abacavir,Low,Water-soluble,Highly toxic
abacavir / lamivudine,High,Water-soluble,Highly toxic
abatacept,High,Water-soluble,Mildly toxic
abiraterone,Low,Water-soluble,Moderately toxic
abobotulinumtoxinA,Low,Poorly soluble,Mildly toxic
acalabrutinib,High,Sparingly soluble,Mildly toxic
acamprosate,Moderate,Water-soluble,Mildly toxic
acarbose,High,Poorly soluble,Moderately toxic
acebutolol,High,Water-soluble,Highly toxic
acetaminophen,High,Sparingly soluble,Highly toxic
acetaminophen / aspirin / caffeine,High,Poorly soluble,Highly toxic
acetaminophen / butalbital,Low,Sparingly soluble,Moderately toxic
acetaminophen / butalbital / caffeine / codeine,High,Sparingly soluble,Highly toxic
acetaminophen / caffeine / pyrilamine,Moderate,Poorly soluble,Moderately toxic
acetaminophen / chlorpheniramine,Low,Poorly soluble,Highly toxic
acetaminophen / chlorpheniramine / dextromethorphan,Moderate,Poorly soluble,Highly toxic
acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,Moderate,Poorly soluble,Mildly toxic
acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,Moderate,Poorly soluble,Moderately toxic
acetaminophen / chlorpheniramine / phenylephrine,Moderate,Poorly soluble,Mildly toxic
acetaminophen / dextromethorphan / diphenhydramine,Low,Poorly soluble,Mildly toxic
acetaminophen / dextromethorphan / doxylamine / phenylephrine,Low,Water-soluble,Mildly toxic
acetaminophen / dextromethorphan / guaifenesin / phenylephrine,Moderate,Sparingly soluble,Moderately toxic
acetaminophen / dextromethorphan / phenylephrine,Moderate,Poorly soluble,Moderately toxic
acetaminophen / hydrocodone,Low,Water-soluble,Highly toxic
acetaminophen / oxycodone,Low,Water-soluble,Mildly toxic
acetaminophen / pamabrom,Low,Water-soluble,Highly toxic
acetaminophen / pamabrom / pyrilamine,High,Sparingly soluble,Mildly toxic
acetaminophen / pseudoephedrine,High,Poorly soluble,Moderately toxic
acetazolamide,High,Water-soluble,Moderately toxic
acetic acid,Moderate,Sparingly soluble,Moderately toxic
acetic acid / aluminum acetate,High,Sparingly soluble,Mildly toxic
acetic acid / hydrocortisone,Moderate,Sparingly soluble,Moderately toxic
acetylcholine,Moderate,Water-soluble,Mildly toxic
acetylcysteine,High,Poorly soluble,Highly toxic
acitretin,Moderate,Water-soluble,Mildly toxic
aclidinium,High,Water-soluble,Highly toxic
acyclovir,High,Poorly soluble,Mildly toxic
acyclovir / hydrocortisone,Low,Poorly soluble,Highly toxic
adalimumab,High,Poorly soluble,Moderately toxic
adapalene,Low,Sparingly soluble,Highly toxic
