Drug_name,Lipophilicity_LogP,Binding_Affinity_kcal_per_mol
C1 esterase inhibitor (human),0.31,-5.82
abacavir,4.63,-4.03
abacavir / lamivudine,2.99,-5.86
abatacept,1.99,-6.43
abciximab,-1.33,-5.48
abiraterone,-1.33,-6.94
abobotulinumtoxinA,-2.06,-9.17
acalabrutinib,4.0,-6.41
acamprosate,2.01,-4.23
acarbose,2.81,-8.54
acebutolol,-2.35,-5.7
acetaminophen,4.77,-8.39
acetaminophen / aspirin / caffeine,3.74,-6.55
acetaminophen / butalbital,-0.91,-8.97
acetaminophen / butalbital / caffeine,-1.14,-7.02
acetaminophen / butalbital / caffeine / codeine,-1.12,-5.34
acetaminophen / caffeine / pyrilamine,-0.22,-7.59
acetaminophen / chlorpheniramine,1.44,-5.84
acetaminophen / chlorpheniramine / dextromethorphan,0.74,-5.13
acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,-0.32,-4.4
acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,2.09,-8.21
acetaminophen / chlorpheniramine / phenylephrine,-1.45,-7.3
acetaminophen / dextromethorphan / diphenhydramine,-0.31,-8.66
acetaminophen / dextromethorphan / doxylamine / phenylephrine,0.25,-4.04
acetaminophen / dextromethorphan / guaifenesin / phenylephrine,0.92,-4.4
acetaminophen / dextromethorphan / phenylephrine,3.39,-6.53
acetaminophen / hydrocodone,-1.0,-4.87
acetaminophen / oxycodone,1.36,-6.63
acetaminophen / pamabrom,1.94,-6.07
acetaminophen / pamabrom / pyrilamine,-2.15,-9.01
acetaminophen / phenylephrine,2.06,-5.35
acetaminophen / pseudoephedrine,-1.22,-8.8
acetazolamide,-2.01,-4.96
acetic acid,4.62,-5.2
acetic acid / aluminum acetate,4.74,-5.6
acetic acid / hydrocortisone,3.56,-9.3
acetylcholine,-0.22,-7.83
acetylcysteine,-1.77,-8.05
acitretin,2.63,-7.52
aclidinium,0.8,-9.02
acyclovir,-1.58,-4.35
acyclovir / hydrocortisone,1.21,-6.45
adalimumab,-2.24,-7.82
adapalene,4.32,-7.32
adefovir,-0.56,-7.04
adenosine,2.47,-6.2
adenovirus vaccine,-0.16,-6.66
afamelanotide,1.4,-4.44
aflibercept,1.6,-6.77
agalsidase beta,-1.11,-4.04
albendazole,4.77,-4.82
albumin human,3.31,-8.35
albuterol,4.55,-4.38
albuterol / ipratropium,4.21,-8.86
alcaftadine,1.98,-5.0
alclometasone,4.41,-7.41
aldesleukin,-1.84,-4.67
alemtuzumab,-1.03,-4.73
alendronate,-2.16,-5.07
alfuzosin,-0.06,-5.15
alglucosidase alfa,0.42,-7.82
alirocumab,-0.46,-9.05
alitretinoin,3.72,-7.28
allantoin / camphor / phenol,0.18,-8.55
allopurinol,-0.39,-5.68
allopurinol / lesinurad,1.57,-7.6
almotriptan,-1.44,-4.13
aloe polysaccharides / iodoquinol,3.52,-5.97
alpelisib,-1.94,-4.98
alpha 1-proteinase inhibitor,4.9,-8.77
alprazolam,3.29,-4.76
alprostadil,-1.01,-4.42
alteplase,-2.46,-6.82
aluminum chloride hexahydrate,3.62,-6.17
aluminum hydroxide,2.8,-5.29
aluminum hydroxide / magnesium hydroxide,2.97,-8.54
aluminum hydroxide / magnesium hydroxide / simethicone,3.28,-6.74
aluminum hydroxide / magnesium trisilicate,-1.94,-7.31
alvimopan,0.19,-8.69
amantadine,-1.63,-7.48
ambrisentan,3.97,-9.13
amifampridine,2.17,-9.36
amifostine,-0.02,-8.76
amikacin,-2.02,-4.2
amikacin liposome,-0.17,-6.48
amiloride,-0.06,-4.19
aminocaproic acid,2.97,-7.12
aminolevulinic acid,2.28,-7.79
aminosalicylic acid,4.15,-6.72
amiodarone,1.04,-7.08
amitriptyline,-1.6,-8.92
amitriptyline / perphenazine,2.85,-5.98
amlodipine,3.21,-8.31
amlodipine / atorvastatin,1.71,-6.09
ammoniated mercury,3.28,-5.92
ammonium chloride,1.2,-8.66
ammonium lactate,1.42,-9.16
amoxicillin,0.71,-5.21
amoxicillin / clarithromycin / lansoprazole,-2.31,-6.97
amoxicillin / clarithromycin / omeprazole,-1.69,-9.18
amoxicillin / clavulanate,-2.26,-4.03
amphetamine,2.27,-9.18
amphetamine / dextroamphetamine,-0.14,-5.68
amphotericin b,1.31,-4.09
amphotericin b lipid complex,4.31,-8.18
amphotericin b liposomal,-0.63,-8.72
ampicillin,0.58,-8.83
ampicillin / sulbactam,3.17,-7.83
amyl nitrite,-0.78,-8.94
anagrelide,-1.92,-5.69
anakinra,-0.33,-9.16
anastrozole,-1.29,-6.7
anidulafungin,4.47,-4.02
anthrax immune globulin intravenous,3.56,-5.02
anthrax vaccine adsorbed,2.25,-6.12
anti-inhibitor coagulant complex,4.04,-7.82
anti-thymocyte globulin (rabbit),3.53,-6.07
antihemophilic factor,-1.1,-6.6
antihemophilic factor / von willebrand factor,4.19,-7.16
antithrombin (recombinant),1.55,-8.78
antithrombin iii,3.56,-4.62
antivenin (black widow spider),4.22,-7.03
antivenin (crotalidae) polyvalent,-0.11,-8.43
antivenin (micrurus fulvius),-1.67,-7.48
antivenom (centruroides scorpion),-0.79,-7.22
apixaban,0.7,-4.95
apomorphine,3.64,-5.47
apraclonidine,3.96,-5.27
apremilast,-2.45,-9.44
aprepitant,1.33,-7.21
argatroban,0.63,-6.85
aripiprazole,-0.83,-9.39
armodafinil,-1.6,-8.07
arsenic trioxide,0.03,-5.32
artemether / lumefantrine,4.57,-8.75
articaine / epinephrine,-0.08,-6.56
ascorbic acid,1.39,-8.32
asenapine,2.77,-9.43
asfotase alfa,0.23,-8.17
asparaginase erwinia chrysanthemi,4.79,-4.13
asparaginase escherichia coli,4.72,-5.09
aspirin,-0.61,-4.22
aspirin / butalbital / caffeine,1.23,-6.82
aspirin / caffeine,-0.24,-8.9
aspirin / caffeine / orphenadrine,-0.36,-6.49
aspirin / carisoprodol,-2.22,-7.0
aspirin / carisoprodol / codeine,2.07,-4.86
aspirin / dipyridamole,1.27,-8.96
aspirin / omeprazole,-2.11,-6.81
atazanavir,-0.41,-8.67
atenolol,4.31,-7.71
atezolizumab,-0.7,-5.44
atomoxetine,-1.41,-6.88
atorvastatin,1.17,-7.43
atovaquone,4.89,-7.33
atovaquone / proguanil,-0.68,-6.97
atracurium,2.54,-5.18
atropine,3.21,-4.59
atropine / difenoxin,-0.72,-4.25
atropine / diphenoxylate,2.96,-5.17
atropine / edrophonium,0.26,-7.77
atropine / hyoscyamine / phenobarbital / scopolamine,2.24,-5.72
atropine / pralidoxime,2.25,-7.09
auranofin,1.52,-8.1
avanafil,-1.82,-4.88
avapritinib,3.76,-9.29
avatrombopag,-0.09,-4.54
avelumab,-1.1,-6.96
axicabtagene ciloleucel,-2.19,-6.0
axitinib,1.93,-5.87
azacitidine,2.58,-4.58
azathioprine,-2.38,-6.0
azelaic acid,1.34,-6.12
azelastine,-0.8,-9.13
azficel-t,2.34,-6.65
azithromycin,-1.19,-8.67
aztreonam,2.68,-5.44
bacitracin,0.4,-6.68
bacitracin / hydrocortisone / neomycin / polymyxin b,4.53,-5.76
bacitracin / neomycin / polymyxin b,-1.47,-9.27
bacitracin / neomycin / polymyxin b / pramoxine,0.06,-9.03
bacitracin / polymyxin b,-1.65,-5.56
baclofen,4.44,-9.1
baloxavir marboxil,4.08,-9.11
balsalazide,-0.57,-9.43
balsam peru / castor oil,2.45,-4.24
balsam peru / castor oil / trypsin,3.63,-5.44
barium sulfate,1.66,-7.56
basiliximab,1.47,-7.87
bazedoxifene / conjugated estrogens,-0.69,-7.58
bcg,-1.8,-5.24
bcg vaccine,4.23,-5.86
becaplermin,4.25,-8.48
beclomethasone,2.25,-8.54
bedaquiline,0.04,-8.96
belatacept,0.12,-5.87
belimumab,2.94,-5.3
belinostat,4.23,-8.04
belladonna,4.15,-9.38
benazepril,3.35,-9.05
bendamustine,2.32,-4.18
benzalkonium chloride,-1.87,-7.88
benzalkonium chloride / lidocaine,-1.29,-5.27
benzethonium chloride,4.24,-6.06
benznidazole,2.05,-7.4
benzocaine,-2.43,-8.37
benzocaine / butamben / tetracaine,-1.74,-8.83
benzocaine / menthol,2.48,-6.12
benzoin,-2.46,-5.24
benzonatate,-1.29,-5.96
benzoyl peroxide,1.62,-6.58
benztropine,2.69,-9.27
benzyl alcohol,2.39,-4.17
benzylpenicilloyl-polylysine,-0.82,-5.11
bepotastine,2.84,-7.89
beractant,-0.72,-4.11
besifloxacin,-0.06,-6.19
beta-carotene,3.1,-6.3
betaine,2.37,-5.39
betamethasone,3.87,-5.04
betamethasone / calcipotriene,2.43,-5.89
betamethasone / clotrimazole,1.76,-8.8
bethanechol,-1.8,-7.64
betrixaban,0.26,-4.4
bevacizumab,-0.51,-8.26
bexarotene,-0.67,-7.45
bezlotoxumab,4.8,-7.12
bicalutamide,0.45,-7.08
bifidobacterium infantis / lactobacillus acidophilus,4.19,-6.13
bimatoprost,2.23,-4.31
bioflavonoids,3.46,-8.18
biotin,1.27,-8.83
bisacodyl,1.83,-8.41
bismuth subcitrate potassium / metronidazole / tetracycline,1.19,-4.62
bismuth subsalicylate,-1.04,-5.95
bisoprolol,2.92,-7.93
bivalirudin,-0.39,-5.01
bleomycin,-2.32,-4.76
blinatumomab,2.34,-4.84
boric acid,-1.17,-4.45
bortezomib,4.55,-8.11
bosentan,4.65,-5.35
bosutinib,4.36,-6.97
botulism antitoxin,0.28,-4.87
botulism immune globulin,-2.38,-5.49
bremelanotide,4.46,-5.23
brentuximab,0.71,-5.89
brexanolone,4.75,-8.52
brimonidine,4.73,-6.5
brimonidine / brinzolamide,3.9,-4.08
brimonidine / timolol,-0.29,-4.34
brinzolamide,0.39,-9.26
brodalumab,3.88,-8.59
brolucizumab,-0.12,-8.78
bromfenac,-1.23,-5.51
bromocriptine,1.68,-5.0
brompheniramine / codeine,4.52,-8.33
brompheniramine / dextromethorphan / pseudoephedrine,2.72,-6.72
brompheniramine / phenylephrine,1.78,-4.88
budesonide,-1.77,-5.47
budesonide / formoterol,2.11,-6.52
bumetanide,4.93,-6.25
bupivacaine,-1.45,-6.7
buprenorphine,1.39,-7.86
buprenorphine / naloxone,4.08,-6.39
bupropion,3.06,-5.71
bupropion / naltrexone,2.73,-4.7
burosumab,2.77,-6.0
buspirone,0.2,-5.31
busulfan,-0.3,-8.62
butorphanol,3.57,-6.96
cabergoline,3.58,-9.45
cabozantinib,4.0,-8.14
cadexomer iodine,4.35,-5.5
caffeine,1.34,-4.05
caffeine / ergotamine,1.26,-8.95
caffeine / sodium benzoate,3.49,-7.29
calamine,2.37,-5.1
calcifediol,2.76,-8.38
calcipotriene,3.47,-6.45
calcitonin,4.18,-5.47
calcitriol,0.03,-6.11
calcium / folic acid / ginger / pyridoxine,0.32,-8.47
calcium / vitamin d,-1.8,-7.55
calcium acetate,1.84,-5.19
calcium carbonate,-2.23,-6.45
calcium chloride,0.99,-9.47
calcium citrate,1.57,-5.31
calcium gluconate,-0.35,-9.31
calcium lactate,1.93,-5.4
"calcium phosphate, tribasic",-2.27,-8.39
calfactant,-2.22,-4.23
camphor / menthol,3.67,-7.48
canagliflozin,0.2,-7.7
canagliflozin / metformin,-1.55,-8.68
canakinumab,1.42,-7.82
candesartan,3.27,-4.68
cangrelor,-0.88,-4.02
cannabidiol,2.17,-7.47
cantharidin,-1.86,-7.03
capecitabine,-2.11,-5.53
caplacizumab,1.49,-4.63
capsaicin,1.55,-6.24
captopril,2.28,-7.35
carbachol,2.95,-7.23
carbamazepine,4.82,-5.67
carbamide peroxide,1.37,-9.48
carbidopa,-0.08,-6.09
carbidopa / entacapone / levodopa,3.46,-7.54
carbidopa / levodopa,-0.47,-5.13
carbinoxamine,0.79,-8.99
carboplatin,-1.91,-6.26
carboprost,-2.31,-6.85
carfilzomib,4.72,-5.97
carglumic acid,3.77,-9.14
carisoprodol,2.72,-6.31
carmustine,0.57,-6.41
carvedilol,-1.2,-6.42
caspofungin,-1.33,-6.18
cefaclor,-0.62,-5.78
cefadroxil,1.62,-5.07
cefazolin,2.86,-8.02
cefdinir,2.45,-4.96
cefepime,-0.4,-6.76
cefixime,4.66,-9.08
cefotaxime,3.03,-9.18
cefotetan,1.66,-7.66
cefoxitin,2.09,-5.18
cefpodoxime,0.65,-5.61
ceftazidime,-0.64,-5.16
ceftriaxone,0.17,-6.66
cefuroxime,3.18,-7.08
celecoxib,-2.39,-8.69
cemiplimab,-1.63,-7.69
cenegermin,-2.15,-7.11
cephalexin,-2.19,-9.01
cerliponase alfa,3.92,-8.29
certolizumab,2.78,-6.21
cetirizine,1.06,-5.45
cetrorelix,-1.77,-4.01
cetuximab,1.19,-4.37
cevimeline,1.05,-5.97
chenodeoxycholic acid,-1.2,-7.18
chlophedianol / dexbrompheniramine,0.75,-6.0
chlorambucil,0.49,-5.18
chloramphenicol,2.12,-8.85
chlordiazepoxide,2.26,-7.25
chlordiazepoxide / clidinium,-2.16,-4.88
chlorhexidine,0.31,-7.39
chloroprocaine,2.19,-6.35
chloroquine,1.27,-6.27
chlorpheniramine,3.92,-8.49
chlorpheniramine / hydrocodone,2.44,-7.51
chlorpheniramine / hydrocodone / pseudoephedrine,-1.28,-7.66
chlorpheniramine / ibuprofen / phenylephrine,-1.97,-9.36
chlorpheniramine / methscopolamine / phenylephrine,2.32,-9.37
chlorpromazine,-2.3,-4.93
chlorthalidone,1.89,-8.0
chlorzoxazone,4.55,-6.65
cholecalciferol,1.82,-7.86
cholecalciferol / genistein / zinc glycinate,0.41,-4.33
"cholera vaccine, live",2.32,-8.07
cholestyramine,0.94,-7.14
cholic acid,1.59,-4.7
choline c-11,4.56,-4.87
chondroitin / glucosamine,0.4,-8.48
chorionic gonadotropin (hcg),4.71,-5.09
chromic chloride hexahydrate,4.29,-6.98
chromium picolinate,-1.03,-6.84
ciclesonide,-1.98,-8.77
ciclopirox,-1.74,-9.06
cidofovir,-2.36,-5.5
cilastatin / imipenem,-1.79,-6.77
cilostazol,2.62,-7.1
cimetidine,-1.97,-5.49
cinacalcet,-0.11,-5.29
ciprofloxacin,3.84,-8.63
ciprofloxacin / dexamethasone,-2.33,-6.14
ciprofloxacin / hydrocortisone,3.61,-8.76
cisatracurium,-0.39,-5.37
cisplatin,-1.61,-5.89
citalopram,2.73,-4.24
citric acid / magnesium oxide / sodium picosulfate,2.22,-9.12
citric acid / potassium citrate,4.08,-9.19
citric acid / potassium citrate / sodium citrate,3.01,-7.95
citric acid / sodium citrate,3.53,-8.06
cladribine,-0.38,-8.14
clarithromycin,-1.17,-4.52
clevidipine,3.13,-8.13
clidinium,3.55,-8.0
clindamycin,4.93,-5.32
clioquinol,0.59,-7.03
clobazam,0.29,-5.23
clobetasol,3.32,-9.14
clofazimine,0.06,-6.82
clomiphene,4.48,-9.32
clomipramine,3.94,-9.16
clonazepam,0.72,-4.51
clonidine,3.13,-8.73
clopidogrel,3.16,-6.57
clorazepate,-1.73,-7.24
clotrimazole,4.27,-7.59
clozapine,1.29,-4.55
coagulation factor Xa,3.7,-9.38
coagulation factor ix,-0.1,-5.85
coagulation factor viia,4.22,-4.2
coagulation factor x,0.42,-6.42
coal tar,-2.42,-4.35
cobimetinib,4.29,-9.21
cocaine,-1.82,-7.2
codeine,-0.11,-8.07
codeine / guaifenesin,4.63,-5.48
codeine / phenylephrine / promethazine,4.63,-4.1
codeine / promethazine,1.8,-8.09
colchicine,2.24,-5.9
colchicine / probenecid,0.86,-8.41
colesevelam,-0.3,-6.39
colestipol,-0.04,-6.95
colistimethate,2.54,-4.15
colistin sulfate / hydrocortisone / neomycin / thonzonium bromide,3.14,-6.15
collagenase,3.44,-7.58
collagenase clostridium histolyticum,3.42,-8.87
conestat alfa,-1.82,-8.67
conivaptan,1.21,-8.26
conjugated estrogens,-2.07,-8.12
conjugated estrogens / medroxyprogesterone,1.62,-4.82
copanlisib,0.81,-6.41
corticorelin,4.16,-6.62
corticotropin,0.13,-8.87
cortisone,-1.62,-4.77
cosyntropin,-1.43,-5.52
crizanlizumab,3.21,-9.13
crizotinib,2.14,-5.61
cromolyn,-1.74,-6.51
crotamiton,-1.87,-9.05
cyanocobalamin,2.76,-6.98
cyclobenzaprine,-1.95,-6.83
cyclopentolate,3.66,-8.59
cyclophosphamide,2.8,-4.3
cycloserine,-1.89,-4.83
cyclosporine,-1.86,-5.82
cyproheptadine,4.9,-6.96
cysteamine,0.31,-7.24
cytarabine,0.28,-5.92
cytarabine liposomal / daunorubicin liposomal,3.6,-6.5
cytomegalovirus immune globulin,4.6,-9.16
dabigatran,4.9,-6.68
dabrafenib,3.15,-5.06
dacarbazine,0.32,-6.97
daclizumab,-1.87,-9.21
dactinomycin,3.33,-5.18
dalfampridine,1.69,-8.39
dalfopristin / quinupristin,0.68,-8.08
dalteparin,4.3,-8.59
danazol,-1.67,-7.68
dantrolene,1.19,-5.34
dapsone,-2.41,-6.64
daptomycin,1.01,-8.37
daratumumab,-2.08,-4.67
darbepoetin alfa,-1.61,-4.66
darifenacin,-1.62,-4.71
dasabuvir / ombitasvir / paritaprevir / ritonavir,2.37,-8.19
dasatinib,3.1,-7.02
daunorubicin,1.88,-4.08
decitabine,4.72,-5.25
deferasirox,0.31,-9.35
deferiprone,-0.36,-9.14
deferoxamine,4.01,-6.95
defibrotide,-0.82,-4.5
deflazacort,4.72,-6.54
degarelix,-2.41,-6.76
dehydroepiandrosterone,4.77,-8.92
demeclocycline,-2.18,-5.89
denosumab,4.18,-4.98
deoxycholic acid,1.46,-7.41
desipramine,4.95,-5.23
desirudin,-1.95,-4.2
desmopressin,1.65,-8.38
desogestrel / ethinyl estradiol,4.77,-6.62
desonide,1.42,-7.92
desoximetasone,2.22,-5.14
desvenlafaxine,2.72,-6.32
deutetrabenazine,0.91,-6.01
dexamethasone,2.21,-5.11
dexamethasone / neomycin / polymyxin b,1.88,-7.32
dexamethasone / tobramycin,4.26,-4.47
dexbrompheniramine,-2.16,-6.57
dexbrompheniramine / phenylephrine,-0.39,-8.63
dexbrompheniramine / pseudoephedrine,4.63,-5.67
dexlansoprazole,4.18,-5.14
dexmedetomidine,0.92,-7.76
dexmethylphenidate,2.15,-4.79
dexrazoxane,-0.42,-4.52
"dextran, high molecular weight",-1.09,-7.98
"dextran, low molecular weight",0.98,-4.09
dextranomer / sodium hyaluronate,0.15,-8.73
dextroamphetamine,1.88,-8.39
dextromethorphan,-1.92,-8.49
dextromethorphan / guaifenesin,4.81,-4.58
dextromethorphan / guaifenesin / phenylephrine,4.9,-5.9
dextromethorphan / promethazine,2.74,-8.66
dextromethorphan / pyrilamine,1.52,-7.08
dextromethorphan / quinidine,-0.18,-6.12
diazepam,3.6,-9.04
diazoxide,2.64,-4.65
dibucaine,-1.28,-5.08
dichlorphenamide,4.33,-6.72
diclofenac,3.67,-4.18
diclofenac / misoprostol,4.62,-7.2
dicloxacillin,2.94,-4.09
dicyclomine,2.1,-5.83
dienogest / estradiol,0.64,-6.01
diethylpropion,4.5,-8.59
diflorasone,4.0,-4.65
difluprednate,-2.16,-7.15
digoxin,-2.3,-8.61
digoxin immune fab,0.32,-9.43
dihydroergotamine,3.58,-6.42
diltiazem,4.9,-6.6
dimenhydrinate,-1.37,-5.54
dimercaprol,1.96,-4.6
dimethyl fumarate,0.36,-9.06
dimethyl sulfoxide,4.77,-5.48
dinoprostone,3.82,-8.47
dinutuximab,3.79,-4.78
diphenhydramine,1.02,-5.0
"diphtheria and tetanus toxoids / pertussis, acellular",0.61,-6.53
"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine",-0.45,-5.59
"diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",-2.08,-7.77
"diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",3.99,-6.91
"diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid",3.6,-4.98
"diphtheria toxoid / pertussis, acellular / tetanus toxoid",5.0,-6.97
