Drug_name,Side_Effect_Probability(%)
C1 esterase inhibitor (human),30.0
abacavir,51.81818181818182
abacavir / lamivudine,30.0
abatacept,70.0
abciximab,
abiraterone,70.0
abobotulinumtoxinA,40.0
acalabrutinib,70.0
acamprosate,30.0
acarbose,30.0
acebutolol,50.0
acetaminophen,55.6
acetaminophen / aspirin / caffeine,70.0
acetaminophen / butalbital,70.0
acetaminophen / butalbital / caffeine,
acetaminophen / butalbital / caffeine / codeine,70.0
acetaminophen / caffeine / pyrilamine,70.0
acetaminophen / chlorpheniramine,54.0
acetaminophen / chlorpheniramine / dextromethorphan,50.0
acetaminophen / chlorpheniramine / dextromethorphan / phenylephrine,50.0
acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine,43.333333333333336
acetaminophen / chlorpheniramine / phenylephrine,50.0
acetaminophen / dextromethorphan / diphenhydramine,30.0
acetaminophen / dextromethorphan / doxylamine / phenylephrine,50.0
acetaminophen / dextromethorphan / guaifenesin / phenylephrine,70.0
acetaminophen / dextromethorphan / phenylephrine,70.0
acetaminophen / hydrocodone,47.142857142857146
acetaminophen / oxycodone,70.0
acetaminophen / pamabrom,50.0
acetaminophen / pamabrom / pyrilamine,46.0
acetaminophen / phenylephrine,
acetaminophen / pseudoephedrine,30.0
acetazolamide,52.22222222222222
acetic acid,43.333333333333336
acetic acid / aluminum acetate,43.333333333333336
acetic acid / hydrocortisone,50.0
acetylcholine,70.0
acetylcysteine,46.0
acitretin,62.0
aclidinium,43.333333333333336
acyclovir,47.77777777777778
acyclovir / hydrocortisone,70.0
adalimumab,45.0
adapalene,30.0
adefovir,30.0
adenosine,38.0
adenovirus vaccine,70.0
afamelanotide,30.0
aflibercept,30.0
agalsidase beta,70.0
albendazole,52.608695652173914
albumin human,50.0
albuterol,50.0
albuterol / ipratropium,70.0
alcaftadine,70.0
alclometasone,70.0
aldesleukin,59.09090909090909
alemtuzumab,43.333333333333336
alendronate,47.77777777777778
alfuzosin,46.0
alglucosidase alfa,
alirocumab,70.0
alitretinoin,30.0
allantoin / camphor / phenol,70.0
allopurinol,51.81818181818182
allopurinol / lesinurad,30.0
almotriptan,60.0
aloe polysaccharides / iodoquinol,70.0
alpelisib,70.0
alpha 1-proteinase inhibitor,50.0
alprazolam,51.05263157894737
alprostadil,54.0
alteplase,43.333333333333336
aluminum chloride hexahydrate,43.333333333333336
aluminum hydroxide,56.666666666666664
aluminum hydroxide / magnesium hydroxide,
aluminum hydroxide / magnesium hydroxide / simethicone,59.09090909090909
aluminum hydroxide / magnesium trisilicate,70.0
alvimopan,70.0
amantadine,46.0
ambrisentan,43.333333333333336
amifampridine,50.0
amifostine,50.0
amikacin,54.0
amikacin liposome,
amiloride,70.0
aminocaproic acid,30.0
aminolevulinic acid,70.0
aminosalicylic acid,30.0
amiodarone,47.142857142857146
amitriptyline,50.0
amitriptyline / perphenazine,
amlodipine,51.53846153846154
amlodipine / atorvastatin,47.77777777777778
ammoniated mercury,70.0
ammonium chloride,50.0
ammonium lactate,46.0
amoxicillin,54.21052631578947
amoxicillin / clarithromycin / lansoprazole,30.0
amoxicillin / clarithromycin / omeprazole,
amoxicillin / clavulanate,52.5
amphetamine,62.0
amphetamine / dextroamphetamine,60.0
amphotericin b,56.08695652173913
amphotericin b lipid complex,42.30769230769231
amphotericin b liposomal,52.857142857142854
ampicillin,50.0
ampicillin / sulbactam,47.142857142857146
amyl nitrite,30.0
anagrelide,70.0
anakinra,60.0
anastrozole,48.46153846153846
anidulafungin,43.333333333333336
anthrax immune globulin intravenous,43.333333333333336
anthrax vaccine adsorbed,30.0
anti-inhibitor coagulant complex,70.0
anti-thymocyte globulin (rabbit),
antihemophilic factor,30.0
antihemophilic factor / von willebrand factor,
antithrombin (recombinant),30.0
antithrombin iii,70.0
antivenin (black widow spider),
antivenin (crotalidae) polyvalent,30.0
antivenin (micrurus fulvius),
antivenom (centruroides scorpion),43.333333333333336
apixaban,34.44444444444444
apomorphine,70.0
apraclonidine,50.0
apremilast,30.0
aprepitant,30.0
argatroban,70.0
aripiprazole,49.0
armodafinil,47.142857142857146
arsenic trioxide,56.666666666666664
artemether / lumefantrine,70.0
articaine / epinephrine,
ascorbic acid,56.666666666666664
asenapine,53.333333333333336
asfotase alfa,30.0
asparaginase erwinia chrysanthemi,54.0
asparaginase escherichia coli,43.333333333333336
aspirin,51.132075471698116
aspirin / butalbital / caffeine,41.42857142857143
aspirin / caffeine,30.0
aspirin / caffeine / orphenadrine,43.333333333333336
aspirin / carisoprodol,70.0
aspirin / carisoprodol / codeine,40.0
aspirin / dipyridamole,
aspirin / omeprazole,30.0
atazanavir,70.0
atenolol,50.0
atezolizumab,46.0
atomoxetine,60.0
atorvastatin,55.26315789473684
atovaquone,50.0
atovaquone / proguanil,30.0
atracurium,
atropine,63.333333333333336
atropine / difenoxin,43.333333333333336
atropine / diphenoxylate,40.0
atropine / edrophonium,70.0
atropine / hyoscyamine / phenobarbital / scopolamine,43.333333333333336
atropine / pralidoxime,30.0
auranofin,30.0
avanafil,50.0
avapritinib,30.0
avatrombopag,
avelumab,56.666666666666664
axicabtagene ciloleucel,
axitinib,30.0
azacitidine,70.0
azathioprine,48.94736842105263
azelaic acid,70.0
azelastine,50.0
azficel-t,46.0
azithromycin,51.276595744680854
aztreonam,70.0
bacitracin,38.0
bacitracin / hydrocortisone / neomycin / polymyxin b,40.0
bacitracin / neomycin / polymyxin b,47.142857142857146
bacitracin / neomycin / polymyxin b / pramoxine,56.666666666666664
bacitracin / polymyxin b,56.666666666666664
baclofen,46.36363636363637
baloxavir marboxil,70.0
balsalazide,70.0
balsam peru / castor oil,70.0
balsam peru / castor oil / trypsin,
barium sulfate,70.0
basiliximab,30.0
